City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,djibo,14.1022,-1.6306,82.8,10,2,7.83,BF,1682472914
258,san antonio de pale,-1.4014,5.6325,82.11,74,100,4.68,GQ,1682472914
259,labrador city,52.9463,-66.9114,35.51,64,40,5.75,CA,1682472887
260,tamanrasset,22.785,5.5228,69.71,12,0,4.61,DZ,1682472915
261,prince albert,53.2001,-105.7677,48.15,66,100,16.11,CA,1682472622
262,silifke,36.3778,33.9344,59.79,70,98,2.48,TR,1682472915
263,siping,43.1633,124.3686,47.95,35,0,3.78,CN,1682472915
264,bechar,31.6167,-2.2167,75.94,18,0,7.31,DZ,1682472916
265,tchintabaraden,15.8969,5.7985,82.74,14,8,8.75,NE,1682472916
266,st. john's,47.5649,-52.7093,35.67,96,100,21.99,CA,1682472734
267,rabo de peixe,37.8,-25.5833,62.11,100,75,6.91,PT,1682472916
268,mariveles,14.4833,120.4833,82.36,64,91,7.74,PH,1682472917
269,coquimbo,-29.9533,-71.3436,58.73,94,100,3.44,CL,1682472797
270,ulsteinvik,62.3432,5.8487,37.9,87,100,4.0,NO,1682472917
271,forbes,-33.3833,148.0167,77.92,32,1,5.32,AU,1682472918
272,tralee,52.2704,-9.7026,45.99,96,100,8.12,IE,1682472918
273,peravurani,10.3,79.1833,83.86,74,26,4.63,IN,1682472918
274,awjilah,29.1081,21.2869,67.62,32,0,7.47,LY,1682472919
275,shizilu,35.1711,118.8289,60.89,36,0,7.78,CN,1682472919
276,troitskoye,52.9821,84.6757,36.7,90,100,5.59,RU,1682472919
277,sumbawa besar,-8.5,117.4333,85.42,69,67,4.61,ID,1682472920
278,san ignacio,17.1561,-89.0714,89.74,55,20,6.91,BZ,1682472921
279,horta,38.5333,-28.6333,62.02,96,100,14.0,PT,1682472921
280,akureyri,65.6835,-18.0878,30.13,69,100,4.61,IS,1682472922
281,matoury,4.8483,-52.3317,75.16,100,75,5.75,GF,1682472922
282,smara,26.7384,-11.6719,70.38,63,9,7.99,EH,1682472923
283,wahpeton,46.2652,-96.6059,45.91,45,0,6.91,US,1682472923
284,north bend,43.4065,-124.2243,68.23,76,0,24.16,US,1682472923
285,kirkwall,58.9848,-2.9587,35.65,87,75,12.66,GB,1682472923
286,fale old settlement,-9.3852,-171.2468,84.76,72,14,13.51,TK,1682472924
287,sola,-13.8833,167.55,80.62,74,21,1.74,VU,1682472924
288,medicine hat,50.0501,-110.6683,64.83,25,100,19.57,CA,1682472901
289,perevolotskiy,51.8763,54.1938,57.72,45,100,15.82,RU,1682472924
290,mulayjah,27.271,48.4242,76.19,35,50,7.72,SA,1682472926
291,chulakkurgan,43.765,69.1814,54.46,40,0,17.36,KZ,1682472926
292,abaza,52.655,90.0928,32.22,76,100,6.26,RU,1682472928
293,gejiu,23.306,103.1635,56.43,82,94,5.82,CN,1682472929
294,colac,-38.3333,143.5833,71.17,46,92,7.96,AU,1682472929
295,rongelap,11.1635,166.8941,80.74,84,100,23.13,MH,1682472929
296,puerto aysen,-45.4,-72.7,48.09,96,58,3.13,CL,1682472930
297,pacific grove,36.6177,-121.9166,63.81,80,0,5.75,US,1682472930
298,xuddur,4.1213,43.8894,72.28,90,100,12.1,SO,1682472931
299,villanueva,15.3167,-88.0,81.59,78,20,11.5,HN,1682472931
300,paragominas,-2.9667,-47.4833,72.75,96,100,2.84,BR,1682472815
301,tarfaya,27.9358,-12.9218,65.8,88,2,10.02,MA,1682472931
302,gulf shores,30.246,-87.7008,70.34,74,0,1.01,US,1682472932
303,shingu,33.7333,135.9833,66.4,97,100,11.72,JP,1682472932
304,vuktyl,63.8567,57.3094,27.52,89,42,1.63,RU,1682472932
305,stornoway,58.2093,-6.3865,34.93,83,75,1.14,GB,1682472932
306,krasnyy oktyabr',56.1167,38.8833,50.25,96,100,6.46,RU,1682472933
307,buala,-8.145,159.5921,83.93,74,58,3.4,SB,1682472933
